Día,Entrada,Salida,h:m,Tiempo,Tarifa (horaria),Pesos,Presupuesto,Approved,Estado,Billable,Customer,Project,Activity,Description,Comentario,Location,Tracking Number,Nombre de usuario,despejado
18.05.,10:00,12:45,2:45,2.75,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,"Contacto con EXO, Busqueda de Soluciones para Kairos
Domi/Cromi
Editorial X
Manos a la Obra
Maquinas LaTAVA
",,,,hbrunacci,0
18.05.,09:30,12:00,2:30,2.50,585.00,1462.50,,,open,0%,ECSA,Beagle SCA,Operativo,Cliente de prueba. Separando en clases.,,,,lcolombo,0
18.05.,09:00,13:30,4:30,4.50,28.00,126.00,,,open,0%,Bitson,Cromi,Desarrollo,React alta usuario,,,,ddebonis,0
18.05.,09:00,13:00,4:00,4.00,28.00,112.00,,,open,0%,Betterez,Betterez,Desarrollo,6377,,,,abrunacci,0
18.05.,00:05,01:30,1:25,1.42,585.00,828.75,,,open,0%,ECSA,Beagle SCA,Operativo,Probando sockets. Armando clases.,,,,lcolombo,0
17.05.,22:30,00:05,1:35,1.58,585.00,926.25,,,open,0%,ECSA,Beagle SCA,Operativo,Probando imágenes (IoT vs LX). Escribiendo Wiki de cómo flashear la Beagle.,,,,lcolombo,0
17.05.,22:00,22:15,0:15,0.25,585.00,146.25,,,open,0%,ECSA,Beagle SCA,Operativo,Prueba con aplicación gráfica de Fedora.,,,,lcolombo,0
17.05.,19:40,20:40,1:00,1.00,585.00,585.00,,,open,0%,ECSA,Beagle SCA,Operativo,Flasheando Beagle con imagen IoT,,,,lcolombo,0
17.05.,18:10,18:45,0:35,0.58,585.00,341.25,,,open,0%,ECSA,Beagle SCA,Operativo,Flasheando una Beagle.,,,,lcolombo,0
17.05.,17:35,18:10,0:35,0.58,585.00,341.25,,,open,0%,ECSA,Beagle SCA,Operativo,Máquina de Estados y Sockets. Revisión con @abrunacci,,,,lcolombo,0
17.05.,17:10,17:35,0:25,0.42,585.00,243.75,,,open,0%,Bitson,Bitson,Gestión Interna,"Papeles necesarios para el cambio de autoridades en el Credicoop.
Libro de Actas de Asambleas.
Libro de Actas de Consejo.
Copia del Balance Certificado por el Colegio de Económicas.
DDJJ de IVA de Ene/17 hasta Abr/17.",,,,lcolombo,0
17.05.,16:48,19:44,2:55,2.93,28.00,82.09,,,open,%,ECSA,Sigas SGS,Desarrollo,,,,,nespino,0
